tiempo,amplitud_original,amplitud_filtrada
1.035000,6.310847,2.435854
1.040000,16.857360,3.878004
1.045000,10.022310,4.492435
1.050000,18.938130,5.937004
1.055000,22.391440,7.582448
1.060000,3.608565,7.185060
1.065000,10.217020,7.488256
1.070000,12.689150,8.008345
1.075000,12.000000,8.407511
1.080000,5.771150,8.143875
1.085000,0.310847,7.360572
1.090000,5.907849,7.215299
1.095000,-2.919299,6.201840
1.100000,6.000000,6.181656
1.105000,7.391435,6.302634
1.110000,-7.391435,4.933227
1.115000,0.144727,4.454377
1.120000,4.537737,4.462713
1.125000,6.000000,4.616441
1.130000,1.782983,4.333096
1.135000,-1.689153,3.730871
1.140000,5.835804,3.941364
1.145000,-1.998811,3.347347
1.150000,7.951925,3.807804
1.155000,11.291860,4.556210
1.160000,-5.391435,3.561445
1.165000,2.217017,3.427003
1.170000,6.624840,3.746786
1.175000,8.000000,4.172108
1.180000,3.782983,4.133195
1.185000,-0.689153,3.650960
1.190000,6.919299,3.977794
1.195000,-0.919299,3.488085
1.200000,10.850290,4.224305
1.205000,19.316450,5.733520
1.210000,11.608570,6.321025
1.215000,32.198210,8.908743
1.220000,54.689150,13.486784
1.225000,77.000000,19.838106
1.230000,91.681840,27.022479
1.235000,99.310840,34.251315
1.240000,108.876800,41.713864
1.245000,91.934290,46.735906
1.250000,82.000000,50.262316
1.255000,61.308030,51.366887
1.260000,18.559280,48.086126
1.265000,4.084095,43.685923
1.270000,-8.310847,38.486246
1.275000,-18.955050,32.742117
1.280000,-17.058870,27.762018
1.285000,-14.689150,23.516901
1.290000,-2.045169,20.960694
1.295000,-5.865960,18.278029
1.300000,4.105396,16.860765
1.305000,9.391435,16.113832
1.310000,-6.501023,13.852347
1.315000,0.217017,12.488814
1.320000,4.689153,11.708848
1.325000,6.000000,11.137963
1.330000,1.782983,10.202465
1.335000,-4.566504,8.725568
1.340000,3.154679,8.168479
1.345000,-4.919299,6.859701
1.350000,4.000000,6.573731
1.355000,7.391435,6.655502
1.360000,-9.391435,5.050808
1.365000,-1.782983,4.367429
1.370000,2.832376,4.213924
1.375000,4.006929,4.193224
1.380000,-0.119959,3.761906
1.385000,-4.524662,2.933249
1.390000,2.919299,2.931854
1.395000,-2.959261,2.342743
1.400000,5.869288,2.695397
1.405000,10.364710,3.462328
1.410000,-6.461905,2.469905
1.415000,2.196089,2.442523
1.420000,-0.310847,2.167186
1.425000,8.928164,2.843284
1.430000,4.669515,3.025907
1.435000,1.274078,2.850724
1.440000,9.919299,3.557582
1.445000,2.992134,3.501037
1.450000,13.000000,4.450933
1.455000,17.378020,5.743642
1.460000,1.583499,5.327628
1.465000,9.217017,5.716567
1.470000,14.689150,6.613825
